date, pm25, o3, no2, so2, co
2019/9/24, 34, 16, 11, , 2
2019/9/25, 31, 40, 11, , 3
2019/9/26, 17, 26, 11, , 2
2019/9/27, 32, 29, 16, 1, 3
2019/9/28, 26, 27, 8, , 2
2019/9/29, 21, 17, 6, , 1
2019/9/30, 23, 17, 9, , 1
2019/10/1, 16, 23, 15, , 3
2019/4/2, 23, 34, 3, 2, 2
2019/4/3, 24, 36, 8, , 2
2019/4/4, 32, 31, 5, , 2
2019/4/5, 25, 27, 6, , 2
2019/4/6, 33, 28, 13, , 3
2019/4/7, 71, 35, 8, , 3
2019/4/8, 35, 31, 11, , 3
2019/4/9, 32, 28, 6, , 2
2019/4/10, 15, 26, 2, , 2
2019/4/11, 12, 30, 3, , 2
2019/4/12, 18, 31, 8, , 2
2019/4/13, 34, 37, 4, , 2
2019/4/14, 24, 28, 2, , 2
2019/4/15, 15, 36, 2, , 2
2019/4/16, 11, 28, 14, , 3
2019/4/17, 29, 37, 14, , 2
2019/4/18, 36, 39, 5, 2, 2
2019/4/19, 39, 27, 2, , 2
2019/4/20, 19, 29, 4, , 2
2019/4/21, 12, 23, 5, , 2
2019/4/22, 44, 25, 13, , 4
2019/4/23, 49, 26, 7, , 2
2019/4/24, 29, 28, 6, , 2
2019/4/25, 16, 30, 8, , 3
2019/4/26, 41, 35, 6, , 2
2019/4/27, 24, 30, 1, , 2
2019/4/28, 11, 36, 1, , 2
2019/4/29, 15, 31, 5, , 2
2019/4/30, 19, 32, 9, , 2
2019/5/1, 21, 33, 6, , 2
2019/5/2, 24, 25, 10, , 2
2019/5/3, 40, 29, 10, , 2
2019/5/4, 25, 22, 10, , 2
2019/5/5, 26, 29, 11, , 3
2019/5/6, 24, 38, 17, 1, 4
2019/5/7, 47, 26, 8, , 2
2019/5/8, 27, 32, 6, , 2
2019/5/9, 10, 35, 6, , 2
2019/5/10, 30, 25, 5, , 2
2019/5/11, 36, 29, 8, , 2
2019/5/12, 13, 31, 3, , 1
2019/5/13, 9, 29, 4, , 2
2019/5/14, 7, 27, 6, 1, 2
2019/5/15, 19, 35, 20, , 4
2019/5/16, 51, 32, 10, , 2
2019/5/17, 37, 32, 11, , 2
2019/5/18, 36, 26, 4, , 2
2019/5/19, 7, 36, 6, , 2
2019/5/20, 29, 32, 4, , 2
2019/5/21, 25, 32, 6, , 2
2019/5/22, 12, 27, 7, , 2
2019/5/23, 25, 36, 13, , 2
2019/5/24, 24, 33, 5, , 2
2019/5/25, 37, 27, 9, , 2
2019/5/26, 45, 29, 7, , 2
