date, pm25, pm10, o3, no2, co, so2
15-03-06,23, ,35,2, , 
15-03-07,33, ,43,3, , 
15-03-08,32, ,27,2, , 
15-03-09,29, ,32,3, , 
15-03-10,22, ,36,6, , 
15-03-11,27, ,42,3, , 
15-03-12,28, ,55,4, , 
15-03-13,36, ,37,12, , 
15-03-14,41, ,32,3, , 
15-03-15,37, ,30, , , 
15-03-16,32, ,17, , , 
15-03-17,17, ,17,2, , 
15-03-18,15, ,20, , , 
15-03-19,17, ,27,4, , 
15-03-20,22, ,40,3, , 
15-03-21,35, ,26,4, , 
15-03-22,50, ,25,1, , 
15-03-23,31, ,22,1, , 
15-03-24,21, ,30,2, , 
15-03-25,30, ,24,2, , 
15-03-26,37, ,20,3, , 
15-03-27,34, ,34,2, , 
15-03-28,29, ,29,5, , 
15-03-29,34, ,55,3, , 
15-03-30,44, ,25,9, , 
15-03-31,62, ,17,2, , 
15-04-01,19, ,31,2, , 
14-10-02,29, , , , , 
14-10-04,22, ,29,4, , 
14-10-05,21, ,29, , , 
14-10-06,23, ,33,5, , 
14-10-07,39, ,33,3, , 
14-10-08,30, ,31,4, , 
14-10-09,29, ,29, , , 
14-10-10,26, ,30,4, , 
14-10-11,29, ,31,3, , 
14-10-12,26, ,25,2, , 
14-10-13,23, ,33,2, , 
14-10-14,28, ,42,4, , 
14-10-15,44, ,53,5, , 
14-10-16,77, ,26,2, , 
14-10-17,64, ,27,5, , 
14-10-18,50, ,23,2, , 
14-10-19,31, ,23,1, , 
14-10-20,16, ,28,3, , 
14-10-21,20, ,38,4, , 
14-10-22,29, ,34,2, , 
14-10-23,61, ,28, , , 
14-10-24,26, ,33,3, , 
14-10-25,27, ,25,1, , 
14-10-26,25, ,27,4, , 
14-10-27,24, ,32,3, , 
14-10-28,38, ,34,2, , 
14-10-29,47, ,30,3, , 
14-10-30,53, ,30, , , 
14-10-31,36, ,32, , , 
14-11-01,24, ,39,3, , 
14-11-02,29, ,30,1, , 
14-11-03,29, ,27,2, , 
14-11-04,32, ,33,3, , 
14-11-05,38, ,27,5, , 
14-11-06,43, ,29,4, , 
14-11-07,21, ,26,3, , 
14-11-08,37, ,30,4, , 
14-11-09,33, ,35,2, , 
14-11-10,39, ,26,1, , 
14-11-11,45, ,24,3, , 
14-11-12,25, ,25,2, , 
14-11-13,27, ,24,2, , 
14-11-14,32, ,27,3, , 
14-11-15,22, ,27,2, , 
14-11-16,21, ,36,3, , 
14-11-17,29, ,26,3, , 
14-11-18,33, ,31,2, , 
14-11-19,35, ,22,2, , 
14-11-20,24, ,21,2, , 
14-11-21,19, ,23, , , 
14-11-22,29, ,21, , , 
14-11-23,30, ,24,1, , 
14-11-24,24, ,29,2, , 
14-11-25,35, ,30,2, , 
14-11-26,34, ,22,2, , 
14-11-27,36, ,39,4, , 
14-11-28,33, ,24,4, , 
14-11-29,32, ,19,1, , 
14-11-30,24, ,28,4, , 
14-12-01,22, ,17, , , 
14-12-02,21, ,34,2, , 
14-12-03,25, ,26,4, , 
14-12-04,35, ,21,3, , 
14-12-05,27, ,26,2, , 
14-12-06,24, ,34,2, , 
14-12-07,40, ,36,3, , 
14-12-08,42, ,21, , , 
14-12-09,36, ,24,2, , 
14-12-10,25, ,27,1, , 
14-12-11,27, ,39,1, , 
14-12-12,28, ,21, , , 
14-12-13,40, ,17,1, , 
14-12-14,31, ,25,3, , 
14-12-15,32, ,17,3, , 
14-12-16,23, ,25,2, , 
14-12-17,22, ,25,1, , 
14-12-18,27, ,33,3, , 
14-12-19,32, ,34,2, , 
14-12-20,42, ,18,1, , 
14-12-21,57, ,20,1, , 
