SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,BA_MALE,BA_FEMALE,H_MALE,H_FEMALE
50,1,19,Alabama,Cherokee County,12,10,1726,868,858,44,27,10,11
50,1,19,Alabama,Cherokee County,12,11,1826,940,886,26,29,8,7
50,1,19,Alabama,Cherokee County,12,12,1984,978,1006,37,47,10,8
50,1,19,Alabama,Cherokee County,12,13,2192,1075,1117,46,53,5,8
50,1,19,Alabama,Cherokee County,12,14,1844,914,930,39,43,8,2
50,1,19,Alabama,Cherokee County,12,15,1763,859,904,37,32,7,4
50,1,19,Alabama,Cherokee County,12,16,1221,554,667,11,17,4,3
50,1,19,Alabama,Cherokee County,12,17,759,347,412,9,16,3,3
50,1,19,Alabama,Cherokee County,12,18,577,209,368,9,14,2,2
50,1,21,Alabama,Chilton County,12,0,44428,21800,22628,2247,2349,1990,1646
50,1,21,Alabama,Chilton County,12,1,2711,1378,1333,143,153,237,183
50,1,21,Alabama,Chilton County,12,2,2984,1472,1512,161,164,219,267
50,1,21,Alabama,Chilton County,12,3,3036,1497,1539,195,172,217,219
50,1,21,Alabama,Chilton County,12,4,2841,1434,1407,150,159,155,147
50,1,21,Alabama,Chilton County,12,5,2502,1283,1219,166,145,148,108
50,1,21,Alabama,Chilton County,12,6,2989,1506,1483,195,184,150,100
50,1,21,Alabama,Chilton County,12,7,2633,1311,1322,165,142,137,79
50,1,21,Alabama,Chilton County,12,8,2652,1316,1336,126,147,128,116
50,1,21,Alabama,Chilton County,12,9,2790,1346,1444,155,149,170,137
50,1,21,Alabama,Chilton County,12,10,2857,1458,1399,123,163,124,100
50,1,21,Alabama,Chilton County,12,11,2888,1449,1439,129,142,123,67
50,1,21,Alabama,Chilton County,12,12,3033,1505,1528,144,152,77,40
50,1,21,Alabama,Chilton County,12,13,2912,1387,1525,142,152,27,25
50,1,21,Alabama,Chilton County,12,14,2497,1183,1314,93,126,30,21
50,1,21,Alabama,Chilton County,12,15,2054,931,1123,73,75,25,15
50,1,21,Alabama,Chilton County,12,16,1401,658,743,41,56,7,5
50,1,21,Alabama,Chilton County,12,17,835,361,474,20,37,4,6
50,1,21,Alabama,Chilton County,12,18,813,325,488,26,31,12,11
50,1,23,Alabama,Choctaw County,12,0,12589,5938,6651,2370,2885,55,73
50,1,23,Alabama,Choctaw County,12,1,662,338,324,139,155,5,10
50,1,23,Alabama,Choctaw County,12,2,630,305,325,138,136,12,16
50,1,23,Alabama,Choctaw County,12,3,718,379,339,158,143,5,6
50,1,23,Alabama,Choctaw County,12,4,728,391,337,151,158,3,1
50,1,23,Alabama,Choctaw County,12,5,650,300,350,116,160,2,7
50,1,23,Alabama,Choctaw County,12,6,729,370,359,169,166,2,3
50,1,23,Alabama,Choctaw County,12,7,580,271,309,120,139,4,2
50,1,23,Alabama,Choctaw County,12,8,659,298,361,119,148,2,0
50,1,23,Alabama,Choctaw County,12,9,688,319,369,112,150,5,8
50,1,23,Alabama,Choctaw County,12,10,755,348,407,130,161,2,4
50,1,23,Alabama,Choctaw County,12,11,853,404,449,171,207,1,2
50,1,23,Alabama,Choctaw County,12,12,998,481,517,203,237,1,2
50,1,23,Alabama,Choctaw County,12,13,970,452,518,188,270,2,0
50,1,23,Alabama,Choctaw County,12,14,855,370,485,169,222,0,4
50,1,23,Alabama,Choctaw County,12,15,796,349,447,124,171,3,7
50,1,23,Alabama,Choctaw County,12,16,593,278,315,81,121,5,1
50,1,23,Alabama,Choctaw County,12,17,376,149,227,47,67,1,0
50,1,23,Alabama,Choctaw County,12,18,349,136,213,35,74,0,0
50,1,25,Alabama,Clarke County,12,0,23622,11153,12469,4878,5757,162,148
50,1,25,Alabama,Clarke County,12,1,1371,673,698,314,343,12,14
50,1,25,Alabama,Clarke County,12,2,1320,674,646,340,308,17,8
50,1,25,Alabama,Clarke County,12,3,1405,729,676,370,325,20,10
50,1,25,Alabama,Clarke County,12,4,1488,736,752,389,353,11,18
50,1,25,Alabama,Clarke County,12,5,1423,691,732,349,402,7,8
50,1,25,Alabama,Clarke County,12,6,1511,758,753,378,379,12,5
50,1,25,Alabama,Clarke County,12,7,1163,542,621,243,310,9,4
50,1,25,Alabama,Clarke County,12,8,1344,623,721,285,348,10,11
50,1,25,Alabama,Clarke County,12,9,1334,621,713,313,358,7,17
50,1,25,Alabama,Clarke County,12,10,1470,678,792,298,396,11,10
50,1,25,Alabama,Clarke County,12,11,1556,729,827,283,414,17,6
50,1,25,Alabama,Clarke County,12,12,1742,827,915,361,430,7,10
50,1,25,Alabama,Clarke County,12,13,1652,758,894,295,418,6,9
50,1,25,Alabama,Clarke County,12,14,1373,644,729,272,277,7,3
50,1,25,Alabama,Clarke County,12,15,1267,591,676,182,245,2,4
50,1,25,Alabama,Clarke County,12,16,984,425,559,112,186,1,3
50,1,25,Alabama,Clarke County,12,17,657,285,372,62,127,5,2
50,1,25,Alabama,Clarke County,12,18,562,169,393,32,138,1,6
50,1,27,Alabama,Clay County,12,0,13235,6447,6788,867,957,231,204
50,1,27,Alabama,Clay County,12,1,700,365,335,61,41,15,25
50,1,27,Alabama,Clay County,12,2,738,377,361,56,54,16,27
