County,State,Land Area
"Banks, GA",Georgia,232.09
"Barrow, GA",Georgia,160.31
"Bartow, GA",Georgia,459.54
"Ben Hill, GA",Georgia,250.12
"Berrien, GA",Georgia,451.9
"Bibb, GA",Georgia,249.76
"Bleckley, GA",Georgia,215.87
"Brantley, GA",Georgia,442.36
"Brooks, GA",Georgia,493.05
"Bryan, GA",Georgia,435.97
"Bulloch, GA",Georgia,672.81
"Burke, GA",Georgia,826.97
"Butts, GA",Georgia,184.39
"Calhoun, GA",Georgia,280.37
"Camden, GA",Georgia,613.03
"Candler, GA",Georgia,243.04
"Carroll, GA",Georgia,499.08
"Catoosa, GA",Georgia,162.16
"Charlton, GA",Georgia,773.58
"Chatham, GA",Georgia,426.44
"Chattahoochee, GA",Georgia,248.74
"Chattooga, GA",Georgia,313.34
"Cherokee, GA",Georgia,421.67
"Clarke, GA",Georgia,119.2
"Clay, GA",Georgia,195.38
"Clayton, GA",Georgia,141.57
"Clinch, GA",Georgia,800.22
"Cobb, GA",Georgia,339.55
"Coffee, GA",Georgia,575.1
"Colquitt, GA",Georgia,544.15
"Columbia, GA",Georgia,290.09
"Cook, GA",Georgia,227.16
"Coweta, GA",Georgia,440.89
"Crawford, GA",Georgia,324.89
"Crisp, GA",Georgia,272.58
"Dade, GA",Georgia,173.98
"Dawson, GA",Georgia,210.83
"Decatur, GA",Georgia,597.14
"DeKalb, GA",Georgia,267.58
"Dodge, GA",Georgia,495.89
"Dooly, GA",Georgia,391.94
"Dougherty, GA",Georgia,328.69
"Douglas, GA",Georgia,200.07
"Early, GA",Georgia,512.59
"Echols, GA",Georgia,414.89
"Effingham, GA",Georgia,477.7
"Elbert, GA",Georgia,351.06
"Emanuel, GA",Georgia,680.6
"Evans, GA",Georgia,182.85
"Fannin, GA",Georgia,386.72
"Fayette, GA",Georgia,194.34
"Floyd, GA",Georgia,509.91
"Forsyth, GA",Georgia,224.02
"Franklin, GA",Georgia,261.5
"Fulton, GA",Georgia,526.64
"Gilmer, GA",Georgia,426.54
"Glascock, GA",Georgia,143.74
"Glynn, GA",Georgia,419.75
"Gordon, GA",Georgia,355.81
"Grady, GA",Georgia,454.53
"Greene, GA",Georgia,387.44
"Gwinnett, GA",Georgia,430.38
"Habersham, GA",Georgia,276.74
"Hall, GA",Georgia,392.78
"Hancock, GA",Georgia,471.84
"Haralson, GA",Georgia,282.17
"Harris, GA",Georgia,463.87
"Hart, GA",Georgia,232.39
"Heard, GA",Georgia,296.03
"Henry, GA",Georgia,322.13
"Houston, GA",Georgia,375.54
"Irwin, GA",Georgia,354.34
"Jackson, GA",Georgia,339.66
"Jasper, GA",Georgia,368.17
"Jeff Davis, GA",Georgia,330.74
"Jefferson, GA",Georgia,526.49
"Jenkins, GA",Georgia,347.28
"Johnson, GA",Georgia,303.01
"Jones, GA",Georgia,393.93
"Lamar, GA",Georgia,183.5
"Lanier, GA",Georgia,185.26
"Laurens, GA",Georgia,807.3
"Lee, GA",Georgia,355.78
"Liberty, GA",Georgia,489.8
"Lincoln, GA",Georgia,210.38
"Long, GA",Georgia,400.29
"Lowndes, GA",Georgia,496.07
"Lumpkin, GA",Georgia,282.93
"McDuffie, GA",Georgia,257.46
"McIntosh, GA",Georgia,424.3
"Macon, GA",Georgia,400.64
"Madison, GA",Georgia,282.31
"Marion, GA",Georgia,366
"Meriwether, GA",Georgia,501.22
"Miller, GA",Georgia,282.42
"Mitchell, GA",Georgia,512.09
"Monroe, GA",Georgia,395.66
"Montgomery, GA",Georgia,239.52
"Morgan, GA",Georgia,347.35
"Murray, GA",Georgia,344.47
"Muscogee, GA",Georgia,216.39
"Newton, GA",Georgia,272.16
"Oconee, GA",Georgia,184.29
"Oglethorpe, GA",Georgia,439.01
"Paulding, GA",Georgia,312.22
"Peach, GA",Georgia,150.27
"Pickens, GA",Georgia,232.06
"Pierce, GA",Georgia,316.49
"Pike, GA",Georgia,216.09
"Polk, GA",Georgia,310.33
"Pulaski, GA",Georgia,249.03
"Putnam, GA",Georgia,344.64
"Quitman, GA",Georgia,151.24
"Rabun, GA",Georgia,369.99
"Randolph, GA",Georgia,428.24
"Richmond, GA",Georgia,324.33
"Rockdale, GA",Georgia,129.79
"Schley, GA",Georgia,166.91
"Screven, GA",Georgia,645.1
"Seminole, GA",Georgia,235.23
"Spalding, GA",Georgia,196.47
"Stephens, GA",Georgia,179.13
"Stewart, GA",Georgia,458.73
"Sumter, GA",Georgia,482.7
"Talbot, GA",Georgia,391.39
"Taliaferro, GA",Georgia,194.61
"Tattnall, GA",Georgia,479.4
"Taylor, GA",Georgia,376.69
"Telfair, GA",Georgia,437.3
"Terrell, GA",Georgia,335.44
"Thomas, GA",Georgia,544.6
"Tift, GA",Georgia,258.92
"Toombs, GA",Georgia,364.01
"Towns, GA",Georgia,166.56
"Treutlen, GA",Georgia,199.44
"Troup, GA",Georgia,413.99
"Turner, GA",Georgia,285.39
"Twiggs, GA",Georgia,358.4
"Union, GA",Georgia,321.93
"Upson, GA",Georgia,323.44
"Walker, GA",Georgia,446.38
"Walton, GA",Georgia,325.68
"Ware, GA",Georgia,892.46
"Warren, GA",Georgia,284.3
"Washington, GA",Georgia,678.45
"Wayne, GA",Georgia,641.78
"Webster, GA",Georgia,209.12
"Wheeler, GA",Georgia,295.48
"White, GA",Georgia,240.69
"Whitfield, GA",Georgia,290.46
"Wilcox, GA",Georgia,377.71
"Wilkes, GA",Georgia,469.49
"Wilkinson, GA",Georgia,447.31
"Worth, GA",Georgia,570.7
"Hawaii, HI",Hawaii,4028.42
"Honolulu, HI",Hawaii,600.74
"Kalawao, HI",Hawaii,11.99
"Kauai, HI",Hawaii,619.96
"Maui, HI",Hawaii,1161.52
"Ada, ID",Idaho,1052.58
"Adams, ID",Idaho,1363.06
"Bannock, ID",Idaho,1111.99
"Bear Lake, ID",Idaho,974.79
"Benewah, ID",Idaho,776.62
"Bingham, ID",Idaho,2093.98
"Blaine, ID",Idaho,2643.59
"Boise, ID",Idaho,1899.24
"Bonner, ID",Idaho,1734.57
"Bonneville, ID",Idaho,1866.08
"Boundary, ID",Idaho,1268.56
"Butte, ID",Idaho,2231.67
"Camas, ID",Idaho,1074.49
"Canyon, ID",Idaho,587.37
"Caribou, ID",Idaho,1764.15
"Cassia, ID",Idaho,2565.08
"Clark, ID",Idaho,1764.19
