SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,BA_MALE,BA_FEMALE,H_MALE,H_FEMALE
50.0,1.0,83.0,Alabama,Limestone County,12.0,18.0,1432.0,483.0,949.0,45.0,93.0,5.0,10.0
50.0,1.0,85.0,Alabama,Lowndes County,12.0,0.0,9726.0,4570.0,5156.0,3234.0,3809.0,85.0,96.0
50.0,1.0,85.0,Alabama,Lowndes County,12.0,15.0,510.0,205.0,305.0,108.0,195.0,1.0,2.0
50.0,1.0,85.0,Alabama,Lowndes County,12.0,16.0,370.0,166.0,204.0,93.0,130.0,1.0,1.0
50.0,1.0,85.0,Alabama,Lowndes County,12.0,17.0,236.0,97.0,139.0,55.0,78.0,0.0,1.0
50.0,1.0,85.0,Alabama,Lowndes County,12.0,18.0,222.0,67.0,155.0,34.0,117.0,0.0,0.0
50.0,1.0,87.0,Alabama,Macon County,12.0,0.0,18068.0,8218.0,9850.0,6442.0,8080.0,188.0,155.0
50.0,1.0,87.0,Alabama,Macon County,12.0,15.0,984.0,430.0,554.0,326.0,444.0,8.0,1.0
50.0,1.0,87.0,Alabama,Macon County,12.0,16.0,672.0,287.0,385.0,196.0,295.0,4.0,1.0
50.0,1.0,87.0,Alabama,Macon County,12.0,17.0,418.0,160.0,258.0,124.0,216.0,3.0,0.0
50.0,1.0,87.0,Alabama,Macon County,12.0,18.0,409.0,129.0,280.0,91.0,232.0,3.0,6.0
50.0,1.0,89.0,Alabama,Madison County,12.0,0.0,372909.0,182366.0,190543.0,43203.0,49506.0,9959.0,9393.0
50.0,1.0,89.0,Alabama,Madison County,12.0,15.0,14803.0,6720.0,8083.0,1152.0,1578.0,124.0,126.0
50.0,1.0,89.0,Alabama,Madison County,12.0,16.0,10378.0,4424.0,5954.0,645.0,943.0,77.0,78.0
