date, pm25, o3, no2, so2, co
2019/11/27, 12, 25, 11, , 3
2019/11/28, 19, 20, 9, , 2
2019/11/29, 20, 16, 15, , 4
2019/11/30, 30, 19, 15, 1, 5
2019/12/1, 43, 23, 16, 1, 5
2019/12/2, 22, 12, 25, 2, 8
2019/12/3, 47, 7, 21, 2, 5
2019/12/4, 43, 12, 18, 1, 4
2019/12/5, 43, 15, 15, 2, 5
2019/12/6, 46, 3, 19, 2, 7
2019/12/7, 51, 13, 14, 1, 4
2019/12/8, 26, 10, 12, 1, 4
2019/12/9, 30, 6, 12, , 3
2019/12/10, 27, 1, 15, 1, 4
2019/12/11, 36, 10, 17, 1, 4
2019/12/12, 29, 28, 19, 1, 3
2019/12/13, 25, 25, 22, 1, 4
2019/12/14, 17, 17, 18, , 4
2019/12/15, 26, 16, 17, , 5
2019/12/16, 25, 13, 20, 1, 4
2019/12/17, 20, 10, 28, 2, 8
2019/12/18, 49, 11, 28, 2, 7
2019/12/19, 54, 21, 15, 1, 3
2019/12/20, 21, 28, 30, 1, 5
2019/12/21, 21, 27, 12, , 3
2019/12/22, 15, 16, 11, , 3
2019/12/23, 16, 12, 16, 1, 4
2019/12/24, 22, 8, 20, , 6
2019/12/25, 34, 7, 13, , 4
2019/12/26, 37, 2, 17, , 6
2019/12/27, 52, 13, 18, 36, 5
2019/12/28, 33, 7, 17, 1, 6
2019/12/29, 37, , 16, , 5
2019/12/30, 31, , , , 
2019/7/2, 29, 21, 18, 1, 4
2019/7/3, 25, 14, 18, 1, 5
2019/7/4, 29, 22, 15, 2, 5
2019/7/5, 29, 19, 14, 2, 5
2019/7/6, 31, 23, 11, 1, 4
2019/7/7, 20, 21, 9, 1, 3
2019/7/8, 17, 27, 20, 2, 5
2019/7/9, 29, 23, 22, 2, 5
2019/7/10, 39, 11, 12, 1, 4
2019/7/11, 27, 13, 17, 1, 4
2019/7/12, 21, 18, 16, 2, 4
2019/7/13, 30, 20, 9, 1, 3
2019/7/14, 20, 29, 11, 1, 3
2019/7/15, 21, 23, 16, 1, 4
2019/7/16, 21, 20, 21, 2, 4
2019/7/17, 30, 16, 11, 1, 3
2019/7/18, 14, 23, 8, 1, 2
2019/7/19, 17, 20, 10, 1, 3
2019/7/20, 23, 27, 10, 1, 3
2019/7/21, 19, 35, 18, 1, 4
2019/7/22, 31, 27, 14, 1, 4
2019/7/23, 26, 18, 11, 1, 3
2019/7/24, 24, 29, 12, 1, 3
2019/7/25, 19, 28, 12, 1, 4
2019/7/26, 25, 23, 14, 2, 4
2019/7/27, 30, 24, 7, 1, 2
2019/7/28, 15, 27, 7, 1, 3
2019/7/29, 16, 27, 18, 2, 5
2019/7/30, 37, 25, 18, , 4
2019/7/31, 28, 27, 20, 1, 4
2019/8/1, 31, 29, 12, 1, 3
2019/8/2, 22, 22, 12, 1, 3
2019/8/3, 25, 33, 9, 1, 3
2019/8/4, 40, 36, 13, 1, 4
2019/8/5, 43, 38, 28, 2, 6
2019/8/6, 52, 25, 23, 1, 5
2019/8/7, 47, 25, 18, 1, 4
2019/8/8, 33, 27, 17, 1, 4
2019/8/9, 25, 26, 22, 1, 4
2019/8/10, 32, 24, 14, 2, 11
2019/8/11, 30, 22, 4, 1, 8
2019/8/12, 17, 23, 17, 1, 8
2019/8/13, 21, 33, 14, 1, 4
2019/8/14, 28, 34, 21, 1, 4
2019/8/15, 31, 25, 15, 1, 4
2019/8/16, 28, 21, 14, 1, 4
2019/8/17, 32, 26, 13, 1, 4
2019/8/18, 26, 23, 12, 1, 4
2019/8/19, 21, 28, 11, 1, 3
2019/8/20, 19, 34, 20, 2, 5
2019/8/21, 31, 21, 15, 1, 4
2019/8/22, 22, 20, 20, 1, 5
2019/8/23, 36, 21, 18, 2, 4
2019/8/24, 37, 26, 10, 1, 3
2019/8/25, 26, 30, 11, 1, 3
2019/8/26, 26, 31, 9, 1, 3
2019/8/27, 34, 30, 11, 2, 4
2019/8/28, 35, 24, 19, 6, 5
2019/8/29, 37, 29, 21, 2, 4
2019/8/30, 38, 26, 16, 1, 4
2019/8/31, 28, 27, 17, 1, 4
2019/9/1, 30, 26, 11, 1, 3
2019/9/2, 19, 28, 12, 1, 4
2019/9/3, 21, 24, 23, 2, 5
2019/9/4, 37, 23, 17, , 4
2019/9/5, 28, 22, 17, 1, 4
2019/9/6, 34, 26, 20, 1, 5
2019/9/7, 41, 19, 17, 1, 4
2019/9/8, 29, 21, 9, , 3
2019/9/9, 12, 23, 16, , 4
2019/9/10, 16, 22, 16, , 4
2019/9/11, 23, 26, 20, 1, 5
2019/9/12, 24, 27, 14, 1, 3
2019/9/13, 21, 24, 13, 1, 4
2019/9/14, 19, 22, 11, , 3
2019/9/15, 14, 22, 5, , 3
2019/9/16, 15, 21, 14, 1, 4
2019/9/17, 24, 15, 9, 1, 3
2019/9/18, 14, 18, 13, 1, 3
2019/9/19, 21, 19, 20, 1, 6
2019/9/20, 37, 12, 16, 1, 5
2019/9/21, 29, 16, 13, 1, 4
2019/9/22, 25, 15, 10, , 4
2019/9/23, 19, 21, 14, 1, 3
2019/9/24, 26, 23, 14, 1, 3
2019/9/25, 31, 25, 15, 1, 5
2019/9/26, 39, 22, 16, 1, 4
2019/9/27, 24, 25, 12, , 3
2019/9/28, 17, 20, 7, , 3
2019/9/29, 13, 16, 8, , 3
2019/9/30, 11, 20, 10, , 3
2019/10/1, 12, 18, 16, 1, 5
2019/4/2, 39, 30, 20, 1, 5
2019/4/3, 32, 33, 13, 1, 4
2019/4/4, 30, 31, 22, 1, 5
2019/4/5, 35, 32, 13, 1, 4
2019/4/6, 25, 36, 12, 1, 4
2019/4/7, 25, 33, 11, 1, 4
2019/4/8, 20, 23, 18, 1, 4
2019/4/9, 23, 30, 12, 1, 3
2019/4/13, 27, 34, 10, , 4
2019/4/14, 18, 35, 9, , 4
2019/4/15, 17, 36, 17, 1, 4
2019/4/16, 12, 27, 18, 1, 4
2019/4/17, 27, 30, 15, 1, 4
2019/4/18, 14, 24, 14, 1, 4
2019/4/19, 20, 30, 14, 1, 3
2019/4/20, 17, 29, 12, 1, 4
2019/4/21, 22, 34, 12, 1, 4
2019/4/22, 30, 28, 17, 1, 4
2019/4/23, 28, 32, 13, 1, 3
2019/4/24, 22, 37, 14, 1, 3
2019/4/25, 28, 27, 14, 1, 4
2019/4/26, 27, 36, 15, 1, 4
2019/4/27, 34, 33, 8, 1, 3
2019/4/28, 15, 31, 9, 1, 3
2019/4/29, 19, 36, 9, 1, 3
2019/4/30, 11, 36, 13, 1, 4
2019/5/1, 20, 35, 15, 1, 4
2019/5/2, 29, 35, 16, 1, 4
2019/5/3, 28, 31, 20, 1, 4
2019/5/4, 35, 29, 14, 1, 4
2019/5/5, 28, 31, 13, 1, 4
2019/5/6, 27, 31, 18, 1, 4
2019/5/7, 33, 34, 18, 1, 4
2019/5/8, 31, 31, 20, 1, 5
2019/5/9, 41, 33, 14, 1, 4
2019/5/10, 28, 30, 33, 2, 7
2019/5/11, 46, 34, 28, 2, 6
2019/5/12, 51, 29, 14, 1, 4
2019/5/13, 26, 33, 20, 1, 4
2019/5/14, 36, 24, 18, 1, 4
2019/5/15, 27, 26, 20, 1, 4
