date, pm25, pm10, o3, no2, co
2015/7/14, 27, , 21, 4, 
2015/7/15, 21, , 23, 2, 
2015/7/16, 17, , 24, 2, 
2015/7/17, 15, , 23, 3, 
2015/7/18, 17, , 21, 3, 
2015/7/19, 27, , 21, 3, 
2015/7/20, 23, , 33, 1, 
2015/7/21, 22, , 32, 7, 
2015/7/22, 29, , 31, 2, 
2015/7/23, 23, , 33, 7, 
2015/7/24, 24, , 31, 8, 
2015/7/25, 36, , 33, 4, 
2015/7/26, 34, , 27, 5, 
2015/7/27, 37, , 24, 5, 
2015/7/28, 26, , 24, 3, 
2015/7/29, 22, , 22, 3, 
2015/7/30, 20, , 27, 3, 
2015/7/31, 21, , 32, 3, 
2015/8/1, 15, , 30, 2, 
2015/8/2, 22, , 27, 3, 
2015/8/3, 25, , 24, 4, 
2015/8/4, 23, , 24, 5, 
2015/8/5, 22, , 23, 3, 
2015/8/6, 20, , 21, 3, 
2015/8/7, 16, , 29, 2, 
2015/8/8, 20, , 34, , 
2015/8/9, 22, , 32, 2, 
2015/8/10, 24, , 34, 1, 
2015/8/11, 23, , 34, 5, 
2015/8/12, 39, , 28, 8, 
2015/8/13, 37, , 29, 4, 
2015/8/14, 37, , 25, 7, 
2015/8/15, 41, , 26, 5, 
2015/8/16, 29, , 25, 2, 
2015/8/17, 34, , 27, 2, 
2015/8/18, 22, , 34, 2, 
2015/8/19, 22, , 33, 1, 
2015/8/20, 20, , 34, , 
2015/8/21, 29, , 34, 2, 
2015/8/22, 23, , 31, 3, 
2015/8/23, 23, , 30, 3, 
2015/8/24, 25, , 25, 2, 
2015/8/25, 18, , 25, 2, 
2015/8/26, 16, , 25, 4, 
2015/8/27, 18, , 28, 3, 
2015/8/28, 21, , 25, 4, 
2015/8/29, 27, , 28, 1, 
2015/8/30, 28, , 33, , 
2015/8/31, 29, , 34, 2, 
2015/9/1, 20, , 33, 5, 
2015/9/2, 24, , 27, 3, 
2015/9/3, 21, , 32, 5, 
2015/9/4, 18, , 31, 6, 
2015/9/5, 51, , 33, , 
2015/9/6, 25, , 34, 2, 
2015/9/7, 32, , 30, 6, 
2015/9/8, 30, , 27, 4, 
2015/9/9, 31, , 30, 2, 
2015/9/10, 25, , 33, 1, 
2015/9/11, 37, , 31, 2, 
2015/9/12, 32, , 33, 1, 
2015/9/13, 27, , 32, 2, 
2015/9/14, 24, , 30, 3, 
2015/9/15, 23, , 32, 2, 
2015/9/16, 22, , 33, 4, 
2015/9/17, 18, , 34, 5, 
2015/9/18, 24, , 33, 8, 
2015/9/19, 69, , 33, 1, 
2015/9/20, 33, , 32, 2, 
2015/9/21, 32, , 28, 3, 
2015/9/22, 28, , 26, 3, 
2015/9/23, 21, , 29, 5, 
2015/9/24, 19, , 28, 2, 
2015/9/25, 23, , 35, 3, 
2015/9/26, 27, , 39, 3, 
2015/9/27, 43, , 32, 3, 
2015/9/28, 36, , 31, 1, 
2015/9/29, 34, , 33, , 
2015/9/30, 46, , 25, 3, 
2015/10/1, 33, , 35, 7, 
2015/4/2, 29, , 36, 3, 
2015/4/3, 32, , 34, 3, 
2015/4/4, 37, , 34, 4, 
2015/4/5, 34, , 29, 3, 
2015/4/6, 36, , 22, 3, 
2015/4/7, 28, , 17, 2, 
2015/4/8, 23, , 17, 3, 
2015/4/9, 22, , 13, 4, 
2015/4/10, 22, , 29, 1, 
2015/4/11, 24, , 29, , 
2015/4/12, 27, , 22, , 
2015/4/13, 27, , 23, 4, 
