State,County,CS,GoodDays,ModerateDays,UnhealthyForSensitiveGroupsDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,AQI_Class_KMR,AQI_Class_KMN
Georgia,Houston,HoustonGeorgia,0.757785134595864,0.237854297824913,0.00388975778637939,0.000470809792843691,0,0,2,1
Georgia,Lowndes,LowndesGeorgia,0.788549073088495,0.210947402238796,0,0.000503524672708963,0,0,2,1
Georgia,Murray,MurrayGeorgia,0.872794931073579,0.125377203809082,0.00123262702210071,0,0.000595238095238095,0,1,1
Georgia,Muscogee,MuscogeeGeorgia,0.777208674925243,0.21954233433656,0.00324899073819669,0,0,0,2,1
Georgia,Pike,PikeGeorgia,0.894760162218005,0.098938578479496,0.00583177573442346,0.000469483568075117,0,0,1,2
Georgia,Richmond,RichmondGeorgia,0.698402135753671,0.294280638093487,0.00594736313914396,0.00091324200913242,0,0.00045662100456621,2,2
Georgia,Rockdale,RockdaleGeorgia,0.8234506854204,0.160196302616703,0.0163530119628971,0,0,0,1,2
Georgia,Sumter,SumterGeorgia,0.922843599721366,0.0757958560609469,0.00136054421768707,0,0,0,1,1
Georgia,Walker,WalkerGeorgia,0.747966073589623,0.250597144801181,0,0.0014367816091954,0,0,2,1
Hawaii,Hawaii,HawaiiHawaii,0.233812541352402,0.14751655261424,0.282206457240142,0.330529616477292,0.00547945890973064,0.000455373406193078,3,3
Hawaii,Honolulu,HonoluluHawaii,0.947848867820202,0.0516842787717677,0,0.000466853408029879,0,0,1,1
Hawaii,Kauai,KauaiHawaii,0.993843160838909,0.00615683916109103,0,0,0,0,1,1
Hawaii,Maui,MauiHawaii,0.964941732075888,0.0322725153384933,0.00232534742908102,0.000460405156537753,0,0,1,1
Idaho,Ada,AdaIdaho,0.778185742445792,0.200818424532774,0.0177994859894703,0.00319634703196347,0,0,2,3
Idaho,Bannock,BannockIdaho,0.857595378895626,0.133728822017616,0.0045662100456621,0.00410958904109589,0,0,1,3
Idaho,Benewah,BenewahIdaho,0.634034543840205,0.321097811874552,0.0357238438606414,0.00823055841546908,0.00045662100456621,0.00045662100456621,2,3
Idaho,Bonner,BonnerIdaho,0.881223979180886,0.0999688967169291,0.0128395511919314,0.00320641030479138,0.00276116260546195,0,1,3
Idaho,Canyon,CanyonIdaho,0.810118920802729,0.172978547888721,0.0137036753699678,0.00319885593858197,0,0,1,3
Idaho,Caribou,CaribouIdaho,0.994648560334209,0.00338622881805883,0.00196521084773234,0,0,0,1,1
Idaho,Franklin,FranklinIdaho,0.875753081474612,0.108229158816671,0.0132371422480755,0.002780617460642,0,0,1,3
Idaho,Lemhi,LemhiIdaho,0.670057518492344,0.279112471039384,0.0414971935611328,0.00886333333906463,0.000469483568075117,0,2,3
Illinois,Adams,AdamsIllinois,0.899969625937997,0.0993473139527134,0.000683060109289617,0,0,0,1,1
Illinois,Champaign,ChampaignIllinois,0.790034184195424,0.207226089777179,0.00273972602739726,0,0,0,2,1
Illinois,Clark,ClarkIllinois,0.896665811139767,0.10135735531222,0.00197683354801325,0,0,0,1,1
Illinois,Cook,CookIllinois,0.434936497242808,0.528556279162612,0.0324001297502308,0.00410709384434963,0,0,3,3
Illinois,DuPage,DuPageIllinois,0.767966439120624,0.219402504446349,0.0121575715845424,0.000473484848484849,0,0,2,2
Illinois,Effingham,EffinghamIllinois,0.877715200371827,0.119555347191461,0.00272945243671239,0,0,0,1,1
